Review #,Rating,Year/Month,Reviewer Location,Review Title,Review Text
459,4.0,Jun 2018,"Shanghai, China ","Magical experience, great place for families. But beware of the crowds!!!","Disney has done a great job of integrating technology, mobile app, fantasy & imagination, movie characters, merchandise, sounds & light and roller coasters into one memorable experience. The place is designed with all age groups in mind, which makes it a great family destination. The evening show projected on the castle is the biggest draw, getting the entire park together. But the long queues and even longer waiting times, with people hustling and jostling can make the experience quite overwhelming. If you are not quick enough to grab a fast pass, then you need to be extra patient to get through the day."
460,3.0,Jul 2018,N/A,Average Disney experience ,"Do note that most shows are in mandarin. Even if you do not speak Chinese, you can roughy understand the plot and enjoy the action scenes. You have to enter the park during opening hours to have the chance to get the fast pass for popular rides. Download the Shanghai Disneyland app before visiting as you can apply for fast pass and view waiting times there. Food options are pretty mediocre and expensive and you are not allowed to bring food inside the park. There are 2 parades everyday, these are the times where queues are the shortest, use this to your advantage. If you are here only for 1 day, it is highly reccomend to get the 5-attraction experience pass. It cost around 500+ RMB on top of your 300+ RMB entrance ticket. Get the fast pass for Soaring over the horizon first as they run out by 8.30am. You have to wait 2 more hours before you can get your next fast pass. Peterpan is usually available until 11am. Queue for Tron at night as that is when they turn on the beautiful lights. Be prepared to queue 20-30 minutes in advance for shows as they are usually packed. Bring an umbrella and portable fans to make your experience less horrible. I personally feel that Hong Kong Disneyland is way more magical. But if you’re in Shanghai, this would probably do. "
461,3.0,Mar 2018,"Suzhou, China ","Lots of great new attractions, but disappointing staff.","There were plenty of great rides and attractions, but honestly Disney is supposed to be a magical place with smiling faces overall.  I realize it's all fake and everything, but I think that's all part of the Disney fun!Staff wasn't friendly at all, and I was surprised at the lack of English knowledge."
462,5.0,Jun 2018,"Wuxi, China ",Great Place but 1 day is not enough,"I went to Shanghai Disneyland on a Tuesday. It was very crowded as many school groups were there since it was the last week of school until September. I was only able to get 1 FastPass after going through the gate using the app. Highlights:TRON - The best launch rollercoaster I have ever been on. Although the rider sits in the seat crouched like riding a bike, there is 1 train designed for people who physycally cannot be crouched into the locking back plate, or are of a larger size where the rider sits upright.Soaring Over the Horizon - Awesome ride using OMNIMAX and motion seating. The views of the Great Wal of China were awesome/Pirates of the Caribbean - Really good animitronics that really looked like Johnny Depp. Visual effects are stunning.Sever Dwarfs Mine Train - very good and very fun rollercoaster.Camp Discovery Challenge Trails - This was a physical activity that involves putting on a harness and a safety lanyard. The attraction has 3 courses all with 3 levels of challenges for each section of the trails. The harnesses and lanyard are for your safety in case you slip and fall doing one of the more challenging levels.There were also many other jewels to see if only you relax and take it slowly. My second day (Wednesday) had fewer people in the park and I was able to catch more attractions and shorter que lines.Complaints:Low availability of FastPasses. It seems that when you get in the park, most of the passes were gone and only a few were left with all the times being late afternoon or evening. You can only get 1 FastPass, then you have to wait for 2 hours until you can get another. The problem was there were no more FastPasses available after 10:00 AM.Lack of air conditioned spaces for eating. For example, I wanted to eat at the Toy Story Lunch Box because of the variety of cuisine. Get there and it is open air with very little shade. No wonder there were very few people eating at this place. All of the places to eat indoors were crowded because it was hot and humid."
463,5.0,Jun 2018,"San Francisco, CA ","went at night, lovely... not sure about during the day","So we bought tickets online - print out the confirmation code and bring it to the gate entrance along with the passport that was used to purchase the ticket. The ticket agent will type in your passport and pull up your ticket. Super simple.Once you are in, it feels magical. Yeah, cheesy, but it really is like stepping into a stressless, beautiful place. Music is piped throughout the park and it serves to mute out the otherwise chatter of thousands of people.Now, though we bought tickets for the whole day, we did not go to the park until 6pm. And even at that time, it was unbearably hot - there is very little shade in and our the park.I couldn't imagine enjoying the park at high noon.While many of the Disneyland staff were nice, I would say the other half need to improve their customer service game (dismissive, annoyed).The best ride by far was Tron - highly recommended. By 8pm, the wait without fast pass was 50 minutes, but by 9pm, the wait was maybe 10.I think a good strategy for Shanghai Disney is to buy a 3-day pass and go three days in a row from 6-10pm. This way you not only avoid the heat, but also the crowds."
464,5.0,Nov 2017,"Gaspereau, Canada ",Happiest place on Earth!,"We arrived early in the morning, my daughter and son were sleeping on the subway. We stayed and spent the entire day. I don't have enough space to tell you how amazing it was and yes they speak English. We finally left as they were shutting down for the night. An entire day at Disney with my wife's entire family was insane (in a good way)"
465,1.0,Jun 2018,"Huizhou, China ","Worst Disneyland I have ever been to.....I have been to quite a few in HK, Calif., Japan.","Well, this is a big Disneyland park but the size of this park did not make it a fun place. There are probably 7-8 really good attractions that you'd like to go on but walking between these different attractions takes a lot of walking. We went on a Monday, thinking there would be fewer people and there I think were fewer people compared to weekends.Few people in Cities like Shanghai doesn't mean a lot fewer literally. It was forecasted to rain yesterday but there was not a cloud in site and it was hot and sunny, 91'F degrees, 36C. It was so hot that you cannot walk around without your whole face sweating and a small cheap towel you can buy elsewhere for at most 3RMB costs 35RMB. This park is a scam. There are waits of up to 150 minutes on most rides but you can buy a single fast pass for 150RMB extra. So we ended up buying the entrance tickets plus having shell out another 300RMB on every ride since who would want to wait 120-150 minutes for rides that are like a few minutes long at most. Everything was expensive here, a pin that costs at most 10RMB to make costs 150-250RMB each. I cannot tell you the different scams they have going, there are so many....mostly in their products that are so way overpriced. Eating a plate of crappy cafeteria food with two drinks is 100RMB. Very few water fountains around, a bottle of water is 10RMB. The park is very big but basically is all in the middle of the park where there are no rides but scrubs and a few trees and statues where people can take photos, and you know the Chinese love taking their photos. There is an area where there are restaurants and shops from the outside but that is another long walk from the park. Chinese people love to push and shove like there's no tomorrow....it's like getting ahead of someone is something they are born to do. This park is big without substance, attractions too far from one to another so prepare to walk and if you go in the summer, bring a towel to dry your face, bring some extras because your sweat will come down into your eyes and it stings. An Ice cream bar is 40RMB, a stuffed animal depending on which one you get is 300+RMB. There are also many shady scalper types walking around asking people if they'd want to get fast passes and not have to wait. One guy quoted me something like 11,000RMB for a private tour of 3 hours and go on rides without waiting. The Disney app has these premiere fast pass tickets to sell for up to about 8 different rides for close to 900RMB extra. I just feel sorry for the ordinary folks who pay for the entrance ticket and finding out the wait times and have no extra money to buy these overpriced fast passes. This is totally unfair....I am blessed that I had extra money to spend on my daughter and was able to buy these fast passes. I am just wondering if this was the intent of Walt Disney when he built his first park in Anaheim. I doubt that it was.....I'm sure he wanted people to enjoy his park and not have to fork out their live savings to do so. Will never return again and will advise everyone not to. THIS DISNEYLAND IS A TOTALLY RIP OFF AND DISCRIMINATE THOSE THAT ARE NOT AS WELL OFF. Imagine standing in line for one and half hour or more in the 90+ degree heat to get on a ride for 2 minutes at most is something you'd like to do then I have nothing more to say. STAY AWAY from this legal money grabbing thief pretending to be a big company that entertains people. What a joke."
466,3.0,Jun 2018,"Sydney, Australia ",No Disney magic,"The park is set up very nicely, like stepping into a story book. Rides are also enjoyable. Maybe it was the crowds, the indifferent staff or the heat but felt this was like any other theme park, no magical moments.Tron ride was very impressive, as was the Tarzan acrobatics show. Food is very expensive but very poor quality. Just under 100yuan for a frozen Hawaiian pizza and a drink. Corn on the cob was 25yuan. I don’t mind paying for food but everything tasted really bad.Took us about 30 walk from the station. It’s actually only about 10min walk away but the crowd control barriers result in a maze like walk.We arrive at the station 15min prior to 8am opening and there was already a sea of people. Went on a busy long weekend - dragon boat festival. Rides were 40-200min long. We had been stalking the app the week prior to arrival and didn’t really perceive a huge increase in waits for weekends. It was always long! There is free WiFi. We had already downloaded app and vpn activated prior to arrival. There is a code to use which they will send to your phone. We had international sim with no roaming data so needed the WiFi!This allowed us to get the tron fast pass for the late afternoon as soon as we passed through the gates. You are allowed to access fast pass again once your ride has completed or 2hrs elapsed. By the 2hr mark when we could try, which was about 10am, nothing was available.Not wanting to suffer in the lines we purchased the premium access through the app. This is a paid for fast pass. The pricing was equivalent to entry ticket but I believe it fluctuates based on how busy it is in certain days.This allowed us to see the park in 1 day, completing 2 shows, 7 rides and fireworks. Wrapped up at 8.30pm.We used metro to get there which was fast and cheap.I didn’t get a sense that this was the happiest place on earth or that it offered anything unique. I would skip unless you have time or money to spare in your shanghai itinerary. There are much better parks elsewhere."
467,4.0,Jun 2018,"Singapore, Singapore ",Disneyland Shanghai,"CrowdsMad mad mad crowded we were there on a Monday and if the crowd represented the weekday numbers, weekend numbers must be scary, think queues everywhere - food lines / toilets / rides/ entry. You need the patience of a saint to queue. To combat the mad queue to gain entry into park - stay at toy story hotel (budget) or disneyland hotel (non budget) - the room key will get you direct entry into park from disneytown hence avioding the crowd at the regular entry point. I thought the queue for entry was bad at the japan disneyland - the shanghai one was twice as bad. Fast passes run out quick. On the day I was there, they ran out by 11 am for all rides. To save time, buy disney access pass - 440 rmb for 7 of main rides. This will save you time and the average 2-3 hour wait per ride. Alternatively, take your rides between 12-3 pm and 7-9 pm respectively , queues are shorter during these times because people are having lunch or watching the fireworks. Yes people do behave badly with the shoving and line cutting. Be firm and do not be afraid to call them out! CostsDisney is expensive here - average cost of a hotdog and a drink will set you back an average of 60-70 rmb (sgd 13), water costs 10 rmb, there are water fountains but I would not recommend this. Souvenirs are the same as every park - standard t shirts / mickey ears. There will be touts selling fake stuff outside the park. I am not sure why disney allows this - the touts aren't pushy , just decline and be on your way if you are not interested. disneytown has good restaurants and a food court,  options will meet every budget. RidesTron is amazing! Ride at night for surreal experience. Soaring is good but the original at Epcot is better. Pirates has been updated and is very good too. The effects are amazing! Snow white mine trains is fun and cute - take at night for birds eye view of park - different perspective all together. Sleeping beauty castle is huge and lighted pink, very nice. Peter pan's flight has been updated - very nostalgic . The parade starts at noon. Mulan's float is super impressive. No princess except the frozen girls howvever.  Astro blasters is the same as the one in HK / Japan.  Poohs honey hut is the same as the HK one.  Shanghai disney is a massive park , bring good walking shoes! Toy story land is almost the same as HK  except for one ride.Would I go again - yes, when they expand."
468,3.0,May 2018,N/A,Few seconds of rides after hours of waiting,"Just like other Disneys, with some amazing rides - esp Pirates of the Carribean, Peter Pan. But very very long waiting queues - least 45 mins to 150+ mins. Even the Fast Track pass does not help. We went on 2 days, yet could not get entry into some of the major rides. Quite disappointed, actually."
469,4.0,May 2018,"Brooklyn, NY ","Buy the VIP pass, or don't bother going - though it's a great park!","I went to this magnificent part with three colleagues. All of us are in the themed attraction business and were eager to experience the park . I was the only ""newbie"", the other three had been previously and knew that VIP was the only way to attend. Through the Disney park app we linked our four tickets so that one person could scan us all in (hassle, they need the magic bracelets from magic kingdom). The VIP pass allows you to enter the ""Fast Pass"" line ONCE for each ride in the app. Not all rides are included, but the best are:  Pirates of the Caribbean, TRON, PeterPan, Soaring, and more.  We waited in a ""short"" line for Crystal Grotto and it took a sweltering one hour...not bad by the standards of this park, We were there on a weekday thank goodness.   Food options are many, Toy Story land was cute and new, but not great.  Pirates is SUPERB and I loved the extended Peter Pan ship ride. Quite entertaining.  A colleague was fluent in Chinese so we didn't suffer from a language barrier, but didn't feel we needed to engage with park personnel for too many reasons.  We managed to master the app, though it sounds like others here struggle. The Alice Queen of Hearts maze is beautiful and fun to walk through, plenty of photo ops. Beautiful details abound.  If you want to see all Disney parks, this is fun...but I wouldn't recommend folks traveling to China as tourists make the trip. There's so MUCH more to see in China, I'd leave Disney for your home park experience...whether Orlando, Anaheim, Paris or Hong Kong."
470,4.0,Jun 2018,"Toronto, Canada ",1st visit to Shanghai Disneyland ,"Amazing park with some very different attractions. Will never complain again about walk from resort bus stop to Epcot entrance again!! In Shanghai, walk  from cab drop off to extremely long and hot security line was 15 minutes and then 45 minutes in security line. Pushing and shoving and lots of garbage left behind in this line. Very sad!! Once through security in the park in less than 10 minutes. My husband, daughter and I purchased the Disney premier access pass which was pricey however well worth the $. Allows you fast pass access for any ride that requires a fast pass. Soaring was 2 1/2 hours wait time!! We were there one day and did and saw it all in mostly no time at all. Pirates of the Caribbean not be missed!!  Incredible twists and turns along the way that made you think it was pure magic!!Most attractions were in Chinese - stitch’s encounter, Miners train and Winnie the Pooh to mention a few. A very hot and humid day when we visited and very hard to find a cool spot to have a drink and relax. Mostly walk in service and then outside in the heat. Found one area by pirates that we could sit and relax in the ac. Area is much like blue bayou at Disneyland. Because of the lack of ac in dining areas we chose to eat in the castle for dinner. Food was quite good, cool and quieter atmosphere, Mickey, Minnie, Donald and Daisy visited. Purchased the private fireworks dining package. After dinner we were escorted to an area directly in front of the castle. Best viewing and also worth it. All in all a great day. Walked through Disney Downtown to get a cab. Cab line was huge and 30 minutes in that line. Lots and lots of walking and extreme heat but if you are prepared for it you can make it a fun experience!!  4 down and 2 to go//Hong Kong and Tokyo next!!"
471,4.0,Jun 2018,"Singapore, Singapore, ",Best ride at a Disneyland ,"There are three things you need to know about Shanghai D’land. They sell alcohol here, like beer and slushes. The Tron lightcycle is the best ride at any D’land anywhere. Superb build-up, execution and ride. Third, good things come to those who wait and wait. We bought tickets online but you cannot yet fastpass unless you have the physical tickets on hand and by the time we did the fast passes for the day were all gone. So budget lots of time. "
472,3.0,Jun 2018,"Cape Town, South Africa ",The waiting game....,We went there yesterday which was a Saturday so it was very busy. Being a South African we couldn't buy our tockets on the App as we are not listed as an option. We also have Android phones so we couldn't even download the App because Google Playstore is blocked. Thus we couldn't get any Fastpasses....We arrived at 9 and left after six and we only managed 4 rides. The queues at each ride was 120 minutes waiting time! The rides were really a great thrill though! TRON was so exhilarating! The Pirates of the Caribbean ride was also really worth the wait. We managed Rex the Racer as well but by then we were so tired of waiting that I just wanted it to get it over with. Was it worth it? I would say so....but if we had a day open during the week I think it would have been a lot better. 
473,3.0,Jun 2018,N/A,Unmagical Magic Kingdom,"Let's started with the Disney account. In order to buy the Disneyland ticket online, I had to make a Disney account. I made one and I couldn't get the verification pin via sms( I requested the pin almost 20 times). I end up buying ticket from travel agent.I went here with my family on June 18th,2018. We were amazed by how big & beautiful this park was. It was peak season, so I decided to make full advantage on digital fast passes. But, I couldn't do it because I couldn't get that pin verification. I asked the staffs for help but they couldn't too. One my family member was irritated but managed to stay calm. Kudos for the employee over there who stay calm, nice, and smiling. The problem was that they couldn't communicate using english fluently. Maybe that's why I couldn't make Disney account.Walking arround the big park was superb. The attractions were fantastic. We really enjoy ""Soaring Over The Horizon"" and ""Pirates of The Carribean"".  When we were using our premier acess on Soaring Over The Horizon, we asked to be on the middle  part, which we already were. But the employee directed us to the side part. I think he did it on purpose.The atrractions were told using Chinese. It wasn't a problem. The problem is they don't bother to provide subtitle. It really made us feel less magical when we were playing.The other UNMAGICAL things were how the staffs act. They didn't smile, yelled a little, couldn't speak english at all (only few staffs could). When you were in Disneyland, you supposed to be able to feel the Disney spirit. It should be cheerful and relax. Most of the staffs were simply ignorant and rude.The other visitor also quite rude. I went to the lavatory and saw a woman getting out of a booth. When I entered the booth, I saw human feces on the toilet seat (only a speckled) and tissues on the floor. I wondered if that woman did that or not. I don't think the staffs was at fault. It was simply the visitor's fault.Actually, I don't know if I want to visit this Disneyland Shanghai again. I went to Disneyland Hongkong and I felt better even the park was smaller and old. The Disneyland HK's staff were also more helpful, nice, and better at communication.   I can feel the magic of Disney. While Disneyland Shanghai is just a majestic theme park..nothing more."
474,2.0,Jun 2018,"Buckingham, UK ",Worst Disney,"I have now been to all the Disney Parks. Sad to say this was POOR. Reason. Some rides had waits for TWO hours. The only way out of this is to buy a Privilege Pass.OK  IF you can afford it!!That to me smacks of Elitism, which I'm sure Disney wasn't created for. I visited Hong Kong Disney  and the two parks are as different as "" Night and Day"".The best ride was ""Pirates"""
475,4.0,Jun 2018,"Singapore, ",Had a blast at Summer Blast!,"We were at the park over their 3 day weekend for the Dragon Boat Festival. Monday was a peak day with higher ticket prices but it was just as crowded on Tuesday. We spent 2 days at the park, which will allow you enough time to take in the park. Because of the crowds, we opted not to queue for the rides as everything was at least 60 minutes and above (we saw a 180 min wait for Soaring at one point!). We only managed to grab only 1 Fastpass each day as the FPs were all more or less gone by noon.Pro-tip 1: Download the SHDL app, it gives updates on the wait times and you can also use it to get the Digital Fastpass. Pro-tip 2: Stay at the resort hotel for a few good reasons: (a) hotel guests priority entrance at Disneytown (b) purchasing tickets through the hotel will get you an additional advance FP (c) your shopping can be sent to the hotel instead of having to lug them all over the placePro-tip 3: Wear your best walking shoes because this park is MASSIVE with inclinesWe also got to see their Summer event, so there was some nice summer-beach themed deco around the park. Their Summer Blast show was fantastic with great music and dancing! The first day we were in the dry zone and could only watch in envy as the spectators in the wet zone got dripping wet. So the following day we went back and committed ourselves to getting really really wet, which was just as well because it was starting to get quite hot! They weren't kidding when they said wet; we looked like we went swimming fully clothed. I brought an extra plastic bag to keep my bags dry and they were also handing out clear pouches for your handphones.Halal food is available at the Food Republic at Disneytown. You will have to get a prepaid card from the service counter for your purchases. Food prices are higher than in the city, 40-45 yuan for a rice or noodle meal but it was tasty.Yes, we saw some of that ugly crowd behaviour but there were more positive interactions than negative ones. SHDL sells Premier Access passes, which is essentially a priority admission pass. It's a pricey compromise if you do not want to stand in line. My casual observations suggests that the pricing seems quite predatory; the passes were more expensive on Tuesday, a non-peak day, and it could possibly be linked to the weather forecast (it rained for almost half the day, could the PA passes be a way of keeping the people in the park?). We also noticed that the standby times were inflated a bit, further encouraging people to fork out for these passes? In any case, we came close to buying them ourselves but they were too pricey (as much as a one day ticket per person!)Overall, it's a nice park best visited off-peak (whenever that is) and with older children. Plenty of merchandise but not as creative as the Tokyo resorts."
476,5.0,Dec 2017,"Shanghai, China ",Wonderful and Magical Experience,"I suppose I had picked a pretty lucky time or I'm used to the number of people, but I couldn't complain about there being many people. Enjoyed the rides and would highly recommend the Tron one and the Pirates of the Carribean one (which is spoken in Chinese, but the experience is highly enjoyable and you wouldn't be bothered by it anyway). The parade and fireworks were a magical experience. You can have a fast pass to skip the lines, and while you're not waiting there are many things to do. Food is a bit pricey for me, but if you want to buy some items, make sure to be there in the morning to grab an early bird special! Definitely worth coming to if you're visiting Shanghai."
477,1.0,Jun 2018,"Des Moines, IA ",Foreigner Service is terrible.,I am very unhappy with the pre-visit service for foreigners. I booked a ticket using their app to prevent having to take my passport to the park as amusement parks are not the safest places for precious documents but after I paid they said I have to bring my passport to claim the ticket.  I then tried to send a message on their instant message chat and they would only write to me in Chinese. They gave me a Chinese number to call but I am not in China so international calling doesn't sound pleasant.  This is China and lines suck so I ordered online but still have to wait in a line with my PASSPORT! to get the ticket then enter the park. I asked if there is an e version of the ticket or if they can send it to me and have gotten no reply. If I could use any plastic ID to varify my identity that would be ok but a paper passport document is just too much risk and VERY ill thought out by Shanghai Disney.
478,4.0,Jun 2018,"Mossel Bay, South Africa, ",Magic spoiled by too many people,"This was my sixth Disneyland experience, but the first in Shanghai. The park and its attractions are amazing and is filled with the characteristic Disney magic, but it was spoiled by too many people that are allowed to enter the park. All the popular rides had queues of 2-3 hours. We were lucky to find Pirates of the Caribbean with only a 40 minute waiting time. The fact that we went on a “quiet” weekday makes me wonder how it would be on a weekday or public holiday.The fireworks display at 8:30pm was the highlight of the day, but you had to find a good spot to sit at least 90 minutes in advance.Disneyland should lower the limit for the number of people to enter the park. This was an extreme 人山人海 People mountain People Sea experience "
479,5.0,Jun 2018,"Brisbane, Australia ",Amazingly good ,Really stunning castle. It’s so beautiful and Park is really big so be ready with running shoes. High tech rides and long queue( which is expected) all the crew members were helpful. 
480,3.0,Jun 2018,N/A,TRON the best ride ever,If you do go to Shanghai Disney Dress Light and use comfortable shoes. Saw many peopple with blisters on there feet ... lol.... The Park is figging Big. Getting from one ride to another is a real hike. The Queues were figging long and apparently every China residents kids 'Happen' to be in front of the Q... we encountered a few of theses 'Q jumping Pretenders. Get a fast pass it will save you time and grief. Btw The food outside the park is way better.
481,5.0,Oct 2017,"Hellebaek, Denmark ",Better than expected!,"We were so in doubt whether to visit Disneyland, but we are so glad we did! We came here on a Monday, it was rainy, no crowds at all!! We did the tron four times in a row. So come on a rainy day🎉🎉🎉🎉"
482,5.0,Jun 2018,"Shanghai, Shanghai, China ",High tech rides,"We cannot avoid long queued lines, its always been happening in all amusement park such as Disney. However, majority of visitors are locals from different provinces of China... To resolve this, you have to download the app for Shanghai Disney and avail the fast pass as early as possible. I recommend Tron, Soaring over the horizon., Pirates of the Caribbean, 7 dwarfs and rapids. We arrived early (opening time) and saw lots of trash outside the resort left by visitors as food bought outside not allowed. Inside is clean, they do their best to make the park clean as possible although its hard to maintain especially if there are people who don’t cooperate. Washrooms are well maintained but don’t be surprise to see some grannys have their kids pee on plants hehe! If you love rides, its time consuming and must go back for the second time. Overall was fun and magical! "
483,4.0,May 2018,"Mumbai, India ",fast pass is must,"disney is always about memories, fun & let the child in you out. however even on a monday, non-vacation time the place was full & huge lines in almost all rides. minimum waiting time 30mins to 150mins. for vegetarians the food options almost nil. very few english speaking & english understanding staff which as a disney you dont expect such things. the merchandise in this disney i found far too expensive than the HK disney or the universal studios elsewhere. overall much more was expected of this newly opened disney but it disappoints as it is largely seems to be made for the chinese inhabitants & is not friendly or trained to handle out of china tourists."
484,2.0,Jun 2018,"New Delhi, India ",Lines! Lines! ,"We were very excited to visit our first Disneyland. However we realised you need physical training for one month before you attempt this Disney. For one month get the stamina to stand for at least 7-8 hours, walk for 10 kms.. cause you will have to do this for at least 3 days to see the full park. It's no kidding. Some of the rides had a wait for 3 hours. This is ridiculous. If these are such long waits then why allow so many people in the park. Just restrict the no of people so all could enjoy. We bought our tickets a month in advance but still they were selling tickets on the spot. Why sell more tickets if everyone has to wait for 3 hours for a 3 minute ride? Simple answer Greed I guess. There is no thought of customer experience. It was really hell. Yes rides we're good, fresh and fun. But while experience gets robbed with the effort goes behind it. Am not coming back here. "
485,4.0,Jun 2018,N/A,So magical!,"This place is amazing, it is definitely disney!Pros.The obvious, youre in disneyland!The toilets are clean! Which is a definite relief.The whole place is clean, there are cleaners going around every minute of the day. It is not as big as other disney parks. I put this as a pro because 1 day in the park and we went around 4 or 5 times. Anaheim we struggled with 2 days.The smoking areas are nice, relaxing and out of the way. This is how they should be at all parks.All the workers we talked to spoke at least basic english which was great!Cons.The lines are ridiculous! They put up barricades before the security check which means soo much unnecessary walking. The walk from the carpark to the gate and then you deal with the lines. Most of the rides dont have the waiting times so make sure to download the app before you get there.The character meeting lines are not cut off ! I waited in line for around 45 minutes, IN JUNE (so it was soooo hot) with a 2 year old HUGE goofy fan who started fidgeting half way through, got almost to the front of the line and goofy left! That was the absolute worst! You have people who line up with their family (example) take 2 or 3 photos each, then together, then 2 or 3 of them, then different poses, AND THEN muck around with autographs! It is ridiculous! This was one of my worst experiences at the park.There is no cars! Tron isnt all that, the maze is kind of silly since everyone just follows eachother. The lines make it very difficult to get onto a ride, but i guess thats just the way it goes.All in all, the park is amazing. I cannot wait to come back! I would definitely recommend spending the extra on the special tour service they offer for vip treatment"
486,5.0,Jun 2018,"Sydney, Australia ",Exceeded our expectations and fun for the whole family.,"If you are prepared for crowds and long waiting times you will have a fantastic visit to Shanghai Disneyland. Do your research on what rides you prefer to go on and make use of the app. Arrive early in the morning (as soon as the gates open) and head to you top preference rides before the crowds build up. Use of Fast Passes will help speed up the process. The park is spread out and there is lots of walking but very much worth it. Each ride was fun. It can be hot during the day in June but most waiting time was under cover. With light rain in the early evening, the queues reduced around 7pm and we managed to ride on 3 of our preferred rides (Tron, the mine train and jet packs) all within an hour. A great park with a true Disney feel. Can't wait to go back. Wait around for the laser and fireworks show at night."
487,4.0,May 2018,"Fort Worth, TX ","Had Difficulty Giving a Very Good, But Did","We waffled between an Average or Very Good.  We have been to Disneyland Parks (Paris, Orlando, California) since 1974 and were looking forward to Shanghai Disneyland. We read all the TripAdvisor reviews and went on an “off-day.” The cost was approximately $88 USD for two seniors which was a bargain to any Disney Park. We literally walked up the ticket booth and purchased our tickets after waiting in the entrance line for about 30 minutes. Ouch, double ouch as we baked without a bit of shadeFirst, the place is huge, so better have great sneakers or walking shoes. The Fast Passes were long gone. Tron’s wait was 2 ½ hours. So, no Tron. Buzz Light Year was 75 minutes, but I felt great since I was only 50,000 points from 1,000,000 mark. We took in Star Wars which had cool photo ops of all the characters and static displays. Star Wars got us out of the sun and into the AC.Second, even on a “slow day” and thus a reduction in ticket cost, the place was very crowded. And by 1:30 pm was a sea of people.We decided to do Pirates of the Caribbean. Really a fantastic ride, one of Disney’s best in ANY park. But, we waited 2 hours + and saw more twists and turns, pushing and shoving, and we were literally shoulder to shoulder.  We went through the Castile. A real marvel, but that too was crowded. That’s did. We were washed out. Let’s go back to the hotel. Unfortunately, the Parade started and we couldn’t find a cross over. So, we waited and watched the Parade, then walked to the Metro.The best way for me to describe Shanghai Disneyland is like comparing apples to oranges. All the other Parks I can say are like comparing apples to apples, maybe like a Granny to a Macintosh apple. They are apples, but with a slightly different taste. Shanghai Disneyland needs more rides and other venues. I get the idea that this one is different and why, but how can you have a Disneyland without “It’s A Small World?”We have lost count to Disneyworld visits over 4 generations. Gee, I had the pleasure to drop the rope and officially open the park while taking a Disney Leadership Class at Disneyworld. We should make another Shanghai Disneyland visit but will wait a few years until the park matures.In the meantime, we went, we saw, and we have our photos. And for $88 USD for two seniors, the real reason to give a Very Good, but Disney was never about price. The cost value is absolutely there, the overall experiences will need to be improved."
488,1.0,Jun 2018,"Isla de Maipo, Chile",Worst experience,"Worst Disneyland of all. 400 yuan the ticket to get in, 2 hours in queue for every ride. I did a 2:30 queue and when i got to the ride, they had “technical difficulties” and shut down the ride, no compensation. Worst customer service. "
489,5.0,Mar 2018,"Abu Dhabi, United Arab Emirates ",Another Satisfied Disney Fan!,"On my quest to collect all Disneyland Parks, Shanghai Disneyland was my penultimate location on my list.  Reviews had me wary about the cleanliness, attitude of the people, etc. and unsure of what to expect.  Overall the experience does not disappoint at all!  Any hesitations were put quickly put to ease as the Disney magic gleamed and sparkled everywhere.  We especially loved the option of online booking of Fastpasses which saved much running across the park while minimizing wait times.  With Shanghai Disney's unique attractions (Namely the largest castle, Tron, and the best version of Pirates of the Caribbean), I consider it a must-do for any Disney fan."
490,5.0,May 2018,"Singapore, Singapore ",Crazily awesome Tron ride,"Go early, leave your hotel/house before 7am to go there, because it is crowded and you really don’t want to be queueing under the hot morning sun early in the morning. We went there on Monday and it was the case. Recommend to download the “Disney Resort” app and bring caps, electric fan, poncho and food (optional). A decent meal inside cost about 80rmb. Use the app to grab the fastpass tickets so you need not queue all the queues.Recommended rides (for adventurers, roller coaster fans only):1. Tron Lightcycle *Best ride i ever taken*2. Roaring rapids (need poncho)3. Pirates of the carribean (cool graphics)4. Seven dwarf trainI didn’t try the Challenge Trials because not enough time, but seems good!8pm is the fireworks, you might want to start camping at 7.30pm with a good seating spot near the fireworks area and have dinner whilst you wait as it gets super crowded. Other tips: - eat a lunch early because 12-3, people crowd the lunch areas and less queue for the rides then. Have a light lunch so as not to puke! - pre-pack light lunch, snack and dinner, water cost about 10rmb per bottle there- have some games to play whilst you queue, prepare portable battery because you might be bored and drain your battery quickly"
