Review #,Rating,Year/Month,Reviewer Location,Review Title,Review Text
268,3,19-May,N/A,Disney with teens,Very unorganised Disney park.confusing.very crowded.each ride takes 2 hours.no one guides u on the fast passes.a tip u can go to any machine and get fast pass which is very important for rides.or else ur visit to park will be disastrous.
269,5,19-May,United Kingdom,What a great day out!,"This was something we decided to do because we had a spare day in Tokyo and we were so pleased that we did. It was easy to get to, the queues were virtually non existent and the Fastpass system in place allows you to skip a queue if there is one. The merchandise was a bit pricey but not having been to Disney in America or Paris I have nothing to compare this with. They put a huge amount of energy into the parades and nothing is too much trouble. "
270,5,19-Mar,United States,Just another disneyland (but still fun!),"Less unique than DisneySea, Tokyo Disneyland is really just another Disneyland but this is great for children who love all Disneys. The Small world has cuter touches than HK and Paris. We beelined for the monsters inc. fast pass and got in line for Winnie the Pooh which is also more unique in Tokyo. Other than that, the shows are in japanese so we skipped but enjoyed getting on familiar rides. "
271,1,19-Apr,N/A,"Worst Disney Park visit (poor character interaction, long lines for everything and just plain confusing)","My partner and I went to visit Disneyland and Disney SEA. I had researched the park and had heard quite good things about it. Many said they had some of the best rides and parades they’ve ever seen. I had also heard about many rare character opportunities. I am an ex-Cast Member of WDW and have also been to Disneyland. My partner has visited WDW, Disneyland (CA), Hong Kong Disneyland and Disneyland Paris. I also speak a little bit of Japanese. Enough to get me by. So I’d say we’re pretty qualified to an opinion on this park.With high hopes we arrived at the monorail station. We were surprised that you had to pay money to hop on the monorail as the monorail is free at other parks. The signage wasn’t very clear but we made our way to Disney SEA on the first day. The park was over crowded. We entered at park open and the lines were already at 3 hours. WDW’s Pandora lines are nothing compared to these lines!The only park maps at the entrance are in Japanese. We didn’t find out until the end of the day that you had to REALLY LOOK for the maps that were in other languages. Whereas in WDW maps in 7 different languages are right in front of you when you enter the park.We lined up for an hour at the Raging Spirits ride in hopes that the fast pass line would die down so that we could secure one. We managed to secure one at 12:45pm so we were pretty happy with that. However we were disappointed to find out that we had to wait 2 hours until we could get our next fast pass (meaning they would probably all run out).And surprise surprise. We checked on a website (because foreigners can’t use the Tokyo Disney app) all the fast passes had run out. Except for Tower of Terror! We ran there and tried to scan our fast passes. They said we had to wait 3 minutes until we could get one and told us to wait to the side. Then they let a bunch of people in and they took the remaining fast passes and they closed the kiosk within 30 seconds.We went on the Raging Spirits ride and it was quite a disappointment. Not a lot of theming and quite a low thrill level (despite being advertised as a thrill ride). At this point we hadn’t seen any characters, lines for food and toilets were half an hour long and the ride lines were even longer. We lined up for 3 hrs and 15 minutes for Journey to the Centre. Was a fantastic ride and would say it was the best experience we had so far.As we decided to leave, we saw three of the Aristocats characters. But they were swarmed with people (apparently lines for pop up characters aren’t a thing). We also popped into a store and bought some Duffy merch. We held off on some of our purchases as we thought there’d be more in the main park (we had seen people with other merch that wasn’t in the stores). To our dismay, there was no way to know that Duffy merch was only available in Disney SEA. We only discovered that once we went to Disneyland the next day.When we went to Disneyland we thought we were much more prepared after experiencing the disappointment that was Disney SEA. Disneyland was a much smaller version of Disneyland CA or Magic Kingdom. The layout was similar, but a little different in some ways. At this park we only managed to ride Star Tours and watch the half Japanese and half English Country Bear Jamboree (which we really appreciate the addition of English!). But alas it had the same issues. Ridiculous lines, rude people and no English whatsoever. The one redeeming factor was that they had rare characters at the entrance at all times. But the way they did it was VERY strange. Face characters had lines. However fur characters had swarms of people. No lines. And you had to wait for the character to pick you for a photo. Which was an issue because you’d have people pushing you backwards trying to yell at the character for their attention. I went to get a photo with Eeyore and thankfully it didn’t take too long for me to get chosen! I went in for a hug and I guess Eeyore didn’t feel like hugs that day (I don’t think hugging is big in Japan). I didn’t let that bother me as I understand there can be cultural differences. However there was no character interaction whatsoever. Even when I spoke in Japanese.I ended up meeting Clarice later on. She was much more welcoming, however it took about half an hour to get a photo as parents would push their children at her feet, almost tripping her over! As an ex-entertainment CM I was shocked that the character attendants did NOTHING to stop this.It was quite the disappointment. Normally my partner and I are at parks from open until close. However we ended up leaving early on both days as it was just far too hectic. Want shorter lines? Visit Disneyland CA on New Years Eve. Will be half the craziness!Would 100% recommend skipping Tokyo Disney. Go to Disneyland CA or WDW instead."
272,5,19-May,New Zealand,Make Disneyland a must do in Japan,"We visit Disneyland every time we come to japan from when our children were 8 months til our most recent trip where they are now 7, Disneyland has a great range of rides and attractions to suit different ages. Take your own lunch and buy snacks from the endless popcorn vendors or other snack carts. Lots of opportunity to meet Disney characters but lines tend to be long and we skip these, preferring to get onto rides. Make good use of fast pass ticketing to avoid very long queues on popular rides."
273,4,19-May,Russia,Make sure you read all the blogs and guides you can find online!,"We went as a family of 4 (parents with 1 schooler and toddler), went during what was considered low season (7-9 May, Tue-Thu) and enjoyed pretty much 1.5 days in Disneyland (we bought 3-days magicpass and park hop on the third day).Even during a low season, queues can vary from 5-90 min. We were considered lucky and managed to take a few rides with waiting time below 15 min. Nevertheless, we skipped those thrill rides since we were with the young kids.Plan well, read all the blogs and guides you can find online (we did spent quite significant time on this) if you want to enjoy the themepark with less fuss. The staff was very friendly and helpful, and the facility was clean, plenty of benches all over the park. As a parent, I would advise bringing a picnic mat or a light portable stool (we saw locals doing that), so one may sit in queue, rest on the ground while waiting for the parade or show.May can still be chilly by the evening so do bring jumpers or wind-breakers.Can't say enough about reading more and planning well - otherwise, one can easily waste an entire day and not achieving much."
274,5,19-Apr,Philippines,Best Disneyland-style park in the world,"Tokyo Disneyland is like the ""Greatest Hits"" Disneyland. It has all the best classic Disneyland rides from other countries but spruced up and maintained to Japanese standards. Needless to say, it is very clean, organized, and well-maintained. It is crowded compared to even the US parks but if you do your research and plan well, you'll have a great time."
275,1,19-Apr,Australia,Could not pre purchase tickets then tix rejected at gate.,"I tried to save time and drama by pre-purchasing tickets online only for my Australian CC -VISA to be rejected despite the bank assuring me everything was hunky dory with the card. I then purchased tickets through Viator.com only to have the tickets not recognised at the gate, all this mind you after lining up since 7am in order to purchase their fast pass tickets. Subsequently we lost our position in the queue and my young daughter was left in tears. I did not find the Tokyo Disneyland staff particularly helpful or sympathetic to our plight. The only staff member who came to help us addressed us with ""I don't speak English"". Luckily I speak Japanese and was also with a Japanese friend who explained the situation to her - fruitlessly as it turns out. We ended up having a disroganised, messed up day."
276,5,19-May,N/A,Such fun! ,This is the 4th Disney I have visited and it didn’t disappoint. It was super busy but I still enjoyed every second of it. It’s a small world in Japanese is just brilliant.. Staff were all friendly and some spoke a little English. If you are in Tokyo I would recommend going.
277,5,19-Mar,United Kingdom,Disney Magic as I know it.,Disneyland Tokyo held the magic we had come to expect. The rides were familiar so was the hospitality of the staff. We found the staff helpful and if possible prepared to help in anyway they could to make the day enjoyable. Although the park was very busy due to school holidays the number of rides and entertainments meant that although crowded  it didn't make it unbearable as our experience the day before and Tokyo Sea. A good day which left us feeling in good. Well done Tokyo Disneyland
278,5,18-Jun,N/A,Worth the visit,"I have been to Tokyo Disney a couple of times and it has never disappointed Staff are fantastic it’s clean , the fast tracks are free but you still need to time your rides as they do get very busy Food is well priced for an amusement park and not bad either Get in early and stay late , good day out"
279,2,19-May,N/A,Everything is in japanese and that sucks!,"Abselutly everything is in japanese, all the rides,showes and staff only speak japanese. That really sucked and you had to wait for 40-110minutes for every ride"
280,5,19-May,Australia,Excellent family day out ,We went to Disney not our first timeBut the first time with our three year old. A lot of people said Disney is only for grown up children but I have to tend to disagree. We spent a whole day here and there was so much to see and a do with our three year old we went on a lot of rides and shows and also ate at the Japanese restaurant. Really would recommend Tokyo Disney especially on a weekday when we went as it was not that busy.
281,5,19-Mar,Australia,A magical Day,"Tokyo Disneyland is as magical experience for every visitor. Based off the original Disneyland, this park features many of the much loved classic attraction and disney characters. The highlight of my day was the nighttime Parade, a must do for any visitor at the park. I highly recommend getting a snack and lining up 1 hour before the parade starts for a great viewing spot."
282,5,19-Apr,Australia,Well worth it,The family had a great day on the rides.  Best advice is to get the Fast track tickets.  You can get them every two hours. This enables you to get entry to the ride at a specific time frame and jump the normal queue. Only certain rides have them and certain one go quickly. Highly recommend the space rides and the gold mine roller coaster. Food was reasonably priced for a theme park but would suggest eating around 11am to avoid the crowds. We didn’t prepurchase the tickets and went on a Tuesday which is one of the more quieter days. One of us went to the ticket counter whilst the rest of the family waited in the entry line. Suggest you get there well ahead of opening time.
283,4,19-Apr,N/A,Technical problems,"We visited Disneyland on a Wednesday and found that it was quite busy despite being a weekday. The park was easy to get to from Tokyo station by metro. We arrived around midday and there was a very small queue to buy tickets which was a nice surprise. Once inside, we rushed to the Monsters Inc ride - being one of the most popular rides here, we wanted to get a Fast Pass. Unfortunately the ride was closed unexpectedly due to technical issues, which was disappointing. We were advised to keep checking back during the day, which we did although it meant that this was time we could have used elsewhere in the park. It did open again but then closed a few times too - the queue was at least an hour long and they did not allow Fast Pass access. We eventually went on the ride at the end of the day after the fireworks, when the queue was much smaller.The park itself was clean and the staff were all very friendly. We enjoyed watching the parades from the Tomorrowland area - the Disney castle was therefore in the background and made for great photos. The fireworks  display at the end of the day was disappointing compared to other Disney parks as it did not last long.All in all, we thoroughly enjoyed the day and would certainly return. A few tips:- They have special stickers to wear for special occasions, available at Guest Relations (eg birthday).- The park map has a useful summary of all of the eateries and the kind of food they sell. Saves time so you know what to look for. Highly recommend the strawberry churros at Critter Country! - You can check in advance on the website what attractions etc will be closed for refurbishment and when."
284,3,19-Apr,Australia,Disney Mad Crush Not a Great Experience,"Went on the 5th April and it was an absolute mad scramble. Although not during school holidays and during weekday, the number of people queuing up by 7:30am was enormous. We could not work out which queue was for tickets and which was for entry. When the gates opened, it was like the running of the bulls at Pamplona and many people running in with heaps of pushing and shoving. After seeing many young kids cry near the Buzz light year ride to shoot those aliens, I really did question why one would want to bring their child here.It is impossible to get on every ride in one day and using the fastpass system allows you get on more than you would. It very much is catered to locals with many having a yearly pass.I was also surprised that people start hogging spots for the parade from 10am in the morning and it creates a hazard and slows you down. Frankly Disney should stop people squatting for seats so early.My tip is run for the furthest rides away from the entry that are good and then move to get your first fastpass while you line up for your next ride and then just repeat getting fastpasses when you can for the big rides. However by 1pm, many attractions have already closed for fastpasses. For example Thunder mountain ride fastpass obtained at 11am was for a ride at 5pm. Tells you that Disney are admitting too many people in one day to be able to enjoy the experience. The night is a massive crush to, so you are better off watching the parade from the Western World. Restaurant food - you are also looking at at least 800Yen per person over and probably closer to 1,300Yen for a proper meal and that's not even in the top notch restaurant."
285,3,19-Mar,Singapore,Not so bad,"Experienced was ok. Very good for kids, not so much for adults. I thought we're going to see fireworks at night but turned out,it will be just a short show."
286,5,18-May,Australia,Fun for everyone!,When in Tokyo what better place to tae the kids then disney! We loved it so much we came back the next day to disneysea.
287,5,19-Apr,Australia,Great fun for everyone,"Great fun for adults and kids alike. There are plenty of rides, attractions and the usual overpriced carnival food/souvenirs that you would expect to find. The wait for popular rides is usually over an hour if you don’t use the fast pass system. Scan your entry ticket once per hour at the fast pass booths next to the ride and in an hour or so you can join the fast line which moves much faster.I found it best to get your fast pass as soon as you get off each ride and enjoy some side shows in between to ensure you spend as little time in lines as possible. "
288,5,19-Apr,United Kingdom,Magical ,We’ve been to Disney Florida/California/Paris in the past but have to say this is the cleanest Disney park we’ve been to! The staff are so friendly and welcoming. The rides are fantastic. There’s food to suit both western and eastern cuisines. A dream come true getting to visit this park. 
289,2,19-Apr,Switzerland,Disappointing & sometimes heartless,"We visited Tokyo Disneyland & DisneySea on two consecutive days in April. The parks themselves are beautifully done and spotless. We visited on workdays hoping for smaller crowds but both parks were completely overcrowded, which meant that even the rides for very small children had incredibly long lines. We ended up waiting behind hoards of teenagers (?) for small children’s rides that essentially lasted five seconds. No seriously, some of the rides were so short it was ridiculous! My daughter (5) also experienced some things that were unforgivable in my eyes, being pushed out of the way by hoards of teenagers to get up to a disney character. This of course isn’t the park’s fault but the ‘disney character’ in question did nothing to right the wrong and she was ignored for 5 minutes before we eventually gave up! We also got up to a long line of grownups (!) waiting to take a picture with mickey mouse, we proceeded to the back of the line, as my daughter was really excited about having her picture taken with Mickey but a rude lady did a cross with her arms and said “no!”. I asked her if she was really going to send away a little girl and she just gave a heartless “yes!”. So much for the magic of Disney! In other parks it’s all about the kids but this was really lost here! The woman’s response brings me to my next point, the lack of English. Many staff members speak next to no English and there are NO subtitles on ANY of the rides. We found this really lazy and as it’s an easy fix, we’re not sure why nothing has been done about this! We’re from Switzerland and regularly go to a park in Germany that manages to do everything in 3 languages, so it can be done! Essentially it wasn’t as magical as we were hoping for! :("
290,5,18-Dec,Singapore,Fantastic wonderful Place,Purchase a 3 day pass.  Spent 2 days at Disneyland.  The place is really crowded.  Long queue to go in.  Do bring picnic mat for sitting while waiting for shows during the cold season.
291,5,19-Apr,Australia,Great for family holiday,"We did a day trip with our 3 year old and it was great, she is small but was still big enough for plenty of the rides and we could go on with her, the wait times weren’t too long and the food options were great, the staff were so happy and so great with kids and were also very helpful. Loved it. the nighttime spectacular and the glow float parade was amazing."
292,4,19-Apr,Canada,Great place to have fun,"Tokyo Disneyland is a place to have fun in the typical Disney fashion. This park is also vast so wear good shoes and prepare to walk a lot. Lines, for rides, can get pretty lengthy ,so take advantage of a Fast Pass when available.There are lots of restaurants and food carts scattered throughout the park for your convenience. When you book from abroad, Tokyo Disneyland does not make it easy to purchase tickets. There is no on line support/chat for international travellers -- only by phone. You are not guaranteed to get an English speaking cast member. Also Park hopper passes are not available."
293,5,19-Apr,Australia,Fantastic Family Day,"Three adults and two small children tackled the crowds early in April.  It was the day before the school holidays started but it was definitely crowded.  However, we did expect this and planned ahead - which meant rushing to the popular rides first, then taking our time walking around, taking photos and eating.  It was a great day, beautiful weather but the two boys were exhausted.  We booked our tickets on line, not easy to do from Australia we discovered but there was absolutely no one in the queue to buy tickets on the day! So we could have got tickets on the day.  We also elected to get a car and driver to take us there and pick us up - expensive yes but very handy at 6pm with two exhausted boys who fell asleep on the drive home. We also got there at 7.45am - early and we expected to beat the crowds but I think everyone had the same idea.  Park opens at 8am and it was crowded!  The Dumbo ride was a minute long and was not worth the over an hour wait, but the Star Tours ride was excellent, Buzz Lightyears Astro Blasters was very good, Monsters Inc Ride and Go Seek was ok, Peter Pan's Flight was good and Tom Sawyer's Island was a nice respite.  Overall it was a fun day.  Disneyland is aimed at a younger audience (the boys were 8 & 4) and it was good for them.  Take a back pack, wear comfortable shoes and be prepared to queue."
294,5,19-Apr,United States,first Tokyo visit,loved our first visit here.  similar to Disneyland and Magic Kingdom but it has its own uniqueness. must see
295,5,19-Apr,United Kingdom,Disney!,"went on 9th april. Wait times really good compared to Paris, used a couple of fast passes etc. We missed splash mountain as we went to Monsters inc and by then wait times were 80 mins so decided to skip it, splash mountain seems to have the longest wait to do it first!. Food prices were incredibly cheap. We had a large mickey shaped ice cream sandwich which cost £2.50, look at 10 euros in Paris. Lunch we had 4 mains, Japanese curry, and 2 iced coffees, came to £40. Lunch in euro cost us £50 for 2 mains and a snack. Rides did seem a little tamed down compared to Paris, but still good fun. Disney stuff also very reasonable, but we got our t-shirts at uniqlo."
296,5,19-Apr,Colombia,Good time ,The food prices were reasonable. Lines moved fast. Recommend the Disney app- wait times were accurate. Fun family experience. Worth the use of a day when visiting Tokyo. We did the 2 day pass and it was economical and worth our time and money 
297,4,19-Apr,Australia,Fabulous day out,"Very easy to access by train. Incredible amount of shops. 3 parades a day. Our favorite rides were Star Tours, jungle river and buzz lightyear. We spent 8 hours there and didn’t get to see everything. The attention to detail is second to none. The staff are full of big smiles and waves. The food was a bit disappointing - there was plenty to choose from but it was your typical junk food and was very expensive. "
298,5,19-Apr,Philippines,Magical Place in Asia,An awesome experience in Asia. It's pretty close the one in the US though most shows are in Japanese. The rides and food are closely the same with some special stuff like the alien mochi and special asian flavoured popcorns.It was a great trip for us and I enjoyed how clean it is! **though character greeting is a bit all-over the place...the rides and organization is superb!
299,4,19-Apr,Philippines,disney magic,one of the better disney parks that I've been too. make sure to get the different flavored popcorns with the character containers. i loved how clean everything was and how efficient the lines were. shows are in japanese but kids can still relate. 
300,5,19-Apr,Philippines,We love the amazing food,We went to ten Disney parks all over the globe this year and we absolutely enjoyed Tokyo Disneyland. The food was amazing and the Easter parade was spectacular. We lined up for 70 minutes at toon town to take a photo with Mickey wearing the fantasmic costume and it was worth it. Pls try the Katsu burger at toon town and the cinnamon churros.
301,4,19-Apr,Singapore,huge and crowded!,"i arrived at about 11am, so there was not a crowd at the gates.. proceeded to have my lunch first at the Japanese restaurant first since there is no crowd.. had my lunch and proceeded to all the attractions.. not a fan of rides so my wife and i were basically walking around and enjoying all the views and buying the souvenirs from the shops.. i went on a weekday and i feel the crowd is manageable so my advice is try not to go on a weekend cos i think the crowd will be overwhelming.."
302,3,19-Apr,Norway,"Disneyland, the safest choice","This was the final Disney park I had to visit on my quest to having been to all Disney resorts in the World.After a little disappointing day at the DisneySea (see my other review), this made us feel back home and happy again.Specially doing the classic rides Splash Mountain, Big Thunder Mountain and Space Mountain gave us the Disney experience we wanted. And the night light parade was amazing! There are some things they should do something about to make it even better in my eyes:1) I know this is a Japanese park, but this is the only park in the world with next to no English on their rides. Thus making the dark rides almost useless, and a little more difficult for international visitors.2) They MUST do something about how many people they let in! There actually must be a way to have a full capacity and sell out because it was really over crowded. This was even on a regular weekday and we were told it is twice as many during the weekends, which must be unbearable. Tokyo is a huge city and most people can afford the steap Disney prices so something needs to be done!3) The official Disney stores products both inside and outside the park was not up to standard. On every single Disney we've been to in the world the suitcase have been filled with quality Disney merch such as limited edition artwork etc. This was not to be found at any stores in Tokyo, although we found some better quality products at the Disney Store in Shibuya. "
303,4,19-Apr,N/A,Fun day at the park ,"Very busy, visited on a Tuesday, queues were around 30-45 min, very crowded. No big rides in this park. Space mountain is not like Paris / America if you have been to these parks with the bigger upside down roller coasters. Able to get fast passes around the park. The castle looks spectacular as always. More geared up for smaller children and families with regards to rides. But all in all a fun day out with fun food I haven’t had in other parks. If you want character photos, I learnt that you have to wave at the and they willCome over to you, not like Paris were you have to queue up. "
304,1,19-Apr,Australia,Packed with thousands of people ,You can not breath ! They sell their tickets more than it’s capacity!  Long cues for every single ride. Again no English ! 
305,4,19-Apr,Japan,"No english, and nobody speak it!","All attractions, all workers all movies are in japaneese only.the park is amazing ofc.nothing to say, but super expensive to enter and to eat/drinkprepare your wallet with cash!"
306,4,18-Nov,Brunei,We Recommend,"The Happiest Place on earth (aside from universal studious), my daughter loved the place as well for my wife when we have taken a picture with mickey mouse my wife is ecstatic. too bad it rained during the night parade but so far everything is nice, a memorable place to visit"
307,3,19-Apr,Mongolia,Crowds and lines were immense,"We had the dubious misfortune of being there the week before the start of the Japanese school year (2nd week of April), and every student was at Disneyland. According to the Crowd Counter app, there were 65k people there every day that week. The most basic rides had very long waits and Fast Pass was done by little after noon. The park is nevertheless spotlessly clean and orderly, but the crowds were too much and the waits took away the fun. Wouldn't return.  Can say the same for DisnleySea. "
308,5,19-Apr,United States,Very similar to Disney world,"This was our 4th Disney (including Hong Kong, Orlando and Shanghai) this one was very close to Orlando, compared to the others in Asia, this one is very big. The only down side were the staff. Found that a lot did not speak English compared to other Disney’s and a lot were very rude. Felt this was the least magical experience of all the Disney’s so far."
309,4,19-Jan,Australia,Tons of fun for all ages,"We visited as a family and had way more fun than I thought we would! The day we visited in January wasn't too busy so the wait times for rides were all under 45 minutes. It was very cold, so if you're visiting in January rug up. The rides were fab. The Peter Pan ride was a family favourite, as was the Buzz Lightyear ride. The older kid/adult loved Space Mountain. The It's a Small World ride was a strange one, go on it if you want the song stuck in your head for the next year and if you want to feel like Lisa Simpson when she was tripping. The Pirates of the Caribbean ride was pretty good too. The parade is a must to watch, day and night. Plenty of characters wandering around, they do get mobbed but as the park wasn't crazy busy we managed to get some photos with them. Food was pretty good, there's a good selection available including for fussy kids. We especially loved the Mickey Mouse mini pizzas. It was a shame that some rides were closed in Toon Town while we were there, my husband was very sad he couldn't go on the Roger Rabbit ride lol. If you go in winter make sure you stop in the jail in Toon Town, there are heater vents which are delightful to stand under and defrost! Merch is expensive, as one would expect, but there is a big variety. Overall a fab place to spend a day/evening. We all loved it! We were there from open til close but still didn't manage to do everything. Would definitely need more than 1 day here on busy days."
310,1,19-Apr,N/A,Place was great! But do NOT buy a ticket from trip advisor for here.,"I really enjoyed my visit here but forewarning do NOT buy a buy a ticket from trip advisor for here. I wasted 30 minutes at the ticket booth with the staff being confused by my ticket I got through trip advisor and told me they would not accept it because it was not an official disneyland ticket through them. The ticket I bought through trip advisor, hoping to save a little time and it was just the same price at Disneyland. However since they would not take my trip advisor ticket I had to pay for the ticket twice! The tickets on trip advisor are 100% not refundable so unless you want to waste $72 just pay for your ticket at the gate, it’s very simple and the staff are really friendly. I will not be using trip advisor again for any bookings."
311,4,19-Apr,Australia,What a day! Happy birthday mum! ,"We went to Disneyland to celebrate mum’s 65 birthday! The morning started with going from Shinjuku JR station to Tokyo on Chuou Line rapid ,Tokyo station was OMG , long walk to look for Keiyo Line and get off at Maihama. Once you are out of the station Disneyland is on your right hand side . Buying tickets was so easy , everyone was so friendly and happy. The amount of people in there was unbelievable and waiting time for the rides was about 1 hour on average so buying express tickets if you don’t want to wait! Everything you buy you have to line up for it some are shorter wait and some are longer wait ! We had a great time at Tokyo Disneyland! "
312,5,19-Mar,Indonesia,An Awesome place for every age,Disney as well known by every generation.. this park give all memories. With fun rides. Accompanied with disney characters
313,5,19-Apr,United Kingdom,Great park,Tokyo Disneyland is a gorgeous park especially during Sakura (cherry blossom season). The park can get exceptionally busy so plan ahead and use fast passes. Lots of unusual snacks to try particularly the popcorn flavours.
314,5,19-Apr,India,One of the best Disney experiences we had,"We have been to 3 different Disney's with our 5 year old daughter and this one is one of the best for kids her age. She could do all rides and loved some very much like Big thunder mountain and Space mountain, Its a small world, Go coaster roller coaster. The best part for us was the electric parade in the evening - with many amazing Tableau The fantasmic show on the castle was one of the best across any Disney's we have seen (and they are all great). The park is small and easy to cover in a day with kidsThe character greeting times are very long. "
315,5,19-Apr,United Kingdom,Disney joy,"The day at Disney was very grey and cold but the experience was lovely. The food outlets were all reasonably priced. The ticket was around £50. The staff were all very helpful and friendly. The postal service, where I sent some postcards was an added bonus!"
316,5,19-Apr,N/A,Why everyone should visit Tokyo Disneyland.,"When it was my big Sisters birthday in Tokyo, I went to Tokyo Disneyland. I think it was a wonderful place to go for someones birthday. Here are my Top 2 reasons why I believe everyone should visit Tokyo Disneyland. Firstly it is so fun because the ride is so crazy ! There were so many people because Tokyo Disneyland is awesome.Finally, the staff are so nice. And the best ride is jet coaster."
317,5,19-Apr,Australia,Great times with the Disney crew,"14 hours on our feet but what a day and boy did we pack some inFrom the rides to the parades and fireworks displays these folks have it down to a fine artVisited on possibly one of the best clear days in April and the staff were brilliant and the park amazingly well kept and clean unlike Euro Disney that resembles a rubbish tipThis is the third Disney Park we’ve visited and by far the cleanest and friendliestWell done all, you are a credit to the park"
318,5,19-Apr,United States,Great Disney Park,"Great Disney Park with wonderful Japanese flair.  Several unique rides like Pooh’s Honey Hunt and Monster’s Inc. that are unlike (and better than) similar rides in other Disney Parks.  Plus all the classics like Space Mountain, Splash Mountain, Haunted Mansion, Jungle Cruise (skip if you don’t speak Japanese), etc.  TDL has maybe my favorite version of Small World and very delicious and affordable snacks like popcorn (350JPY for a box, chocolate and caramel were our favorites) and Little Green Alien Mochi (350JPY for 3).  Get there early and stay late!  Crowds are impressive but the Japanese are very cordial and patient and don’t seem to mind waiting in crazy long lines for rides, food, characters, you name it.  But if you have a plan and make wise use of fast passes you can have a fun day without standing in any lines of longer than 25 minutes or so.  "
319,5,19-Apr,Australia,Amazing!,My friend and I just got back from a trip to Tokyo and we decided to goto disneyland while we were there. I would recommend going to more than a day if you want to do the rides. There’s 24/23 rides and we did 12 in two days. It’s easy to navigate once you get to know each area! 10/10 recommend!
320,5,19-Apr,Philippines,Disneyland Happiest Place,"A trip to Tokyo wont be complete without a trip to Disneyland specially when you have kids. We were planning to spend half day in disneyland and half day in disney sea but kids was having a blast and decided to stay in disneyland the whole day. It wasnt the first disneyland for them but its just tajt its disneyland how can you not stay for the parade. Of course first stop Its a small world our favorite ride. The wait was long but definitely a sight to see. My daughter loves seeing this ride. Since my kids are still young we just rode the jungle train, boat ride, mark twain boat, we watched the 3d show and we ate a lot of mickey mouse food. Then it was time for souvenir shopping while waiting for the parade to start. It was still a cold day in Tokyo but definitely a memorable day for my whole family."
321,4,19-Mar,Japan,Great family fun day,"Get in line early (we were in line an hour before opening). Possibly send someone to get fast passes while the rest of the group gets in line. (I would suggest splash mountain, Winnie the Pooh, space mountain, or thunder mountain railroad, depending on your group). Parks was beautiful, but crowded. Be prepared to wait and be patient. "
322,5,19-Apr,United Kingdom,Disneyland Tokyo ,"AmazingHighlights are the shows and parades One mans dream 2 was well worth the visit and a great show that would be popular at any Disneyland resortThe parades are better than those in the states with the best electrical parade ever. You can view with ease and there was no need to camp out on the route for a good spot despite many people sitting hours before the parade starts. In Japan a lot of people sit on the floor during the parade so if you don’t mind standing away from the parade you can find a spot that over looks the crowd. Don’t expect to do everything, the parks are very busy. Get there earlier to get fast passes for the most popular rides as the fast passes close once all are distributed for the day and for the most popular rides this can be by mid day. Rides such as Winnie the poo, monsters inc., thunder mountain, space mountain. If the parks are open until 10, as they were in our visit, you can get on some of the other rides with ease. Our first day we were able to ride tiki rooms, bear jamboree, Pinocchio, Peter Pan, Snow White, small world, jungle cruise, haunted mansion and roger rabbit with ease.There are long queues for quick service and stalls, but if you are as happy with less popular options then you can get served quicklyThere is a band that plays on Main Street that is a must if you can catch them. Again better than any spontaneous show in Disneyland California, florida or Paris. Super friendly and helpful staff, great customer service. What ever japanese people tap in to for this should be bottled and sprinkled over the other parks around the world. I was touched by their smiles and kindnesses adding to magicEven though I could not understand what was said on the jungle cruise the cast member was really convincing funny and had amazing energy. The grotto that you go through mid ride has excellent effects not experienced in any other park listed above. We had a four day park ticket. We were surprised, having read reviews we thought we would like Disney seas better, separate review. Although we loved it, we were drawn back to Disneyland more often.  Our visit was Sunday Monday Tuesday and Wednesday. Surprisingly The Wednesday was the busiest. The start of their Easter event that is very popular in JapanGreat visit "
323,5,19-Apr,New Zealand,Such a awesome Day ,"I can just review this in one word!! Just awesome!!!!!!!. If you going their for the first time try to stay till the very end till 10pm ish !! And try to do all attractions there are plenty and it will take time. You can get a quick access by taking a special ticket. If you can try to avoid school holidays and weekends , cause it’s get very busy!!!! Like really busy !!! Have fun with your family and friends !! "
324,4,19-Jan,Japan,Fun Date Place,"This place is really wonderful for couples which is ironic because in the US it's more for family and friends. The ticket price particularly for afternoon admission is a real bargain. I went here with my boyfriend, and I had a great time. Everything is really cute, and the alien ice cream mochi are super cool. We went on a really cold day, but we still had a ton of fun watching the parade. And I would really recommend the Stitch show. It was hilarious particularly to adults. The park is very English friendly if you need to speak English. The only real drawback are the lines. The lines are pretty intense unless you go on a weekday which kind of sucks. Because the lines at the Florida one are so much shorter. A 3 hour wait time just isn't that unusual. But if you're willing to split up the single rider lines are awesome. The Buzz Lightyear ride was awesome as always. And Pooh's Honey Hunt, It's a small World, and the Haunted Mansion were all worth seeing. Everyone should go."
325,4,19-Mar,Australia,Be Prepared to Hurry up and Wait,"Disneyland was good , Only issue is there was between a 2 -3 hour wait for all the big rides and we were there on a Wednesday. They had the 35year parade which was excellent all shows and the grounds where what you expect from a Disneyland"
